id,nj,chain,pct_fte,wage_st,hrsopen,diff_fte
131,1,3,47.6190476190476,5.5,17,-9.5
131,1,3,36.3636363636364,5.05,15,-9.5
139,1,4,NA,5.5,12.5,NA
139,1,4,38.5964912280702,5.5,12,NA
143,1,4,0,5.37,11.5,NA
143,1,4,NA,NA,NA,NA
144,1,4,35.7142857142857,5.05,12.5,-2.5
144,1,4,15.6862745098039,5.05,12.5,-2.5
145,1,1,30.3030303030303,5,16,1.5
145,1,1,55.5555555555556,5.28,16,1.5
147,1,1,57.6271186440678,5.12,14,-5.75
147,1,1,66.6666666666667,5.25,14,-5.75
148,1,1,19.1489361702128,5.25,17,3
148,1,1,28.3018867924528,5.05,17,3
151,1,1,10,5,15,-10
151,1,1,NA,NA,NA,-10
152,1,1,75.2688172043011,5.12,15,-22.75
152,1,1,50.5263157894737,5.05,15,-22.75
157,1,2,64.5161290322581,5,12,2.5
157,1,2,66.6666666666667,5.5,11,2.5
161,1,3,32.6530612244898,5,17,11.5
161,1,3,72.2222222222222,5.05,17,11.5
163,1,3,50,5,16.5,-3
163,1,3,7.14285714285714,5.05,15,-3
164,1,3,17.3913043478261,5,19,-7.5
164,1,3,32.258064516129,5.05,17,-7.5
165,1,4,71.4285714285714,5,12.5,-5.5
165,1,4,44.4444444444444,5.05,12.5,-5.5
169,1,1,36.9230769230769,5,16,-5.5
169,1,1,74.0740740740741,5.05,16,-5.5
170,1,1,43.4782608695652,5,16,11
170,1,1,58.8235294117647,5.05,16,11
187,1,3,23.5294117647059,5.62,15,-0.25
187,1,3,29.8507462686567,5.05,15,-0.25
190,1,3,16.6666666666667,5,16,-4
190,1,3,26.9230769230769,5.05,15,-4
196,1,4,37.2093023255814,5,11.5,-3.5
196,1,4,0,5.05,12.5,-3.5
197,1,1,71.875,5,17,-11.5
197,1,1,24.390243902439,5.05,17,-11.5
234,1,1,0,5,16,7
234,1,1,66.6666666666667,5.05,16,7
240,1,3,42.2535211267606,5.1,17,-10
240,1,3,58.8235294117647,5.05,17,-10
241,1,3,47.6190476190476,5,16,NA
241,1,3,NA,5.05,16,NA
242,1,3,75.7575757575758,5.25,17,-13
242,1,3,60,5.05,16,-13
245,1,3,68.1818181818182,5.5,13.5,-4
245,1,3,44.4444444444444,5.05,13,-4
259,1,1,56.5217391304348,5,14.5,3.5
259,1,1,56.6037735849057,5.05,14.5,3.5
268,1,1,43.4782608695652,5,15,0.25
268,1,1,0,5.05,15,0.25
271,1,2,0,5,11,2
271,1,2,0,5.05,12,2
272,1,2,32,5.05,11,-0.5
272,1,2,16.6666666666667,5.25,12,-0.5
274,1,2,0,5.5,10,0
274,1,2,31.5789473684211,5.05,11,0
276,1,2,38.4615384615385,5,10.5,2.5
276,1,2,32.258064516129,5.05,12,2.5
296,1,1,29.4117647058824,5.3,16,-2.5
296,1,1,27.5862068965517,5.05,16,-2.5
299,1,2,33.3333333333333,5,11.5,5
299,1,2,42.8571428571429,5.05,11.5,5
301,1,2,42.1052631578947,5,10.5,-12.5
301,1,2,30.7692307692308,5.05,10.5,-12.5
320,1,2,43.4782608695652,5,12,-1.5
320,1,2,40,5.05,11,-1.5
321,1,2,23.0769230769231,5,12.5,-1.5
321,1,2,34.7826086956522,5.05,12,-1.5
324,1,3,41.6666666666667,5.25,24,-1.5
324,1,3,47.3118279569892,5.05,24,-1.5
326,1,3,39.5604395604396,5.15,24,-19
326,1,3,0,5.05,24,-19
330,1,4,26.6666666666667,5.42,15.5,1
330,1,4,18.75,5.67,14.5,1
334,1,1,55.5555555555556,5,12.5,-5
334,1,1,0,5.05,12.5,-5
349,1,3,11.9047619047619,5,16,-7
349,1,3,0,5.05,15,-7
354,1,4,68.2926829268293,5.06,10.5,-5
354,1,4,58.0645161290323,5.05,10.5,-5
356,1,4,56.0975609756098,5.05,11.5,-2.5
356,1,4,0,5.05,11.5,-2.5
357,1,4,25.7142857142857,5,11.5,9.5
357,1,4,77.7777777777778,5.25,12.5,9.5
371,1,1,43.6363636363636,5,16,-0.5
371,1,1,40.7407407407407,5.25,16,-0.5
373,1,1,58.3333333333333,5,15.5,5.5
373,1,1,61.0169491525424,5.05,15.5,5.5
375,1,1,73.5294117647059,5.25,15,-17.5
375,1,1,0,5.5,15,-17.5
378,1,1,55.5555555555556,5,18.5,13.5
378,1,1,63.4920634920635,5.05,19,13.5
381,1,1,41.6666666666667,5,16.5,3.5
381,1,1,54.5454545454545,5.05,16.5,3.5
403,1,3,NA,5.05,18,NA
403,1,3,43.1372549019608,5.05,16,NA
406,1,4,35.8208955223881,5,11.5,-1.5
406,1,4,53.125,5.5,12.5,-1.5
408,1,4,41.6666666666667,5.75,10.5,2.5
408,1,4,55.1724137931034,5.5,10.5,2.5
409,1,1,8.57142857142857,5,15,-24.5
409,1,1,0,5.05,15,-24.5
1,1,1,45.7142857142857,4.5,16,9
1,1,1,45.4545454545455,5.05,16,9
2,1,1,62.5,4.75,14,-0.5
2,1,1,48.3870967741936,5.25,15,-0.5
3,1,2,38.7096774193548,4.25,10,-5
3,1,2,38.0952380952381,5.05,11,-5
4,1,3,52.6315789473684,4.75,12.5,5
4,1,3,20.8333333333333,5.05,13.5,5
5,1,3,20.8333333333333,4.5,17,5
5,1,3,34.4827586206897,5.15,17,5
8,1,4,NA,4.8,12,NA
8,1,4,49.1803278688525,5.05,13,NA
9,1,1,33.3333333333333,4.37,16,-16
9,1,1,0,5.05,16,-16
10,1,1,51.7241379310345,4.25,16,-2.5
10,1,1,56.6037735849057,5.05,16,-2.5
11,1,1,34.4827586206897,4.25,16,-2
11,1,1,44.4444444444444,5.05,16,-2
12,1,1,30.5882352941176,4.37,16,5.25
12,1,1,56.6037735849057,5.05,16,5.25
13,1,2,0,4.5,10,-5
13,1,2,19.047619047619,5,11,-5
15,1,3,15.3846153846154,4.6,17,-1.5
15,1,3,27.7777777777778,5.05,17,-1.5
16,1,3,28.5714285714286,4.5,17,-2.5
16,1,3,37.8378378378378,5.05,17,-2.5
17,1,3,0,4.37,17,11.5
17,1,3,15.6862745098039,5.05,17,11.5
18,1,3,49.1803278688525,4.25,17,1.5
18,1,3,25,5.05,17,1.5
19,1,1,17.0212765957447,4.25,16,9.5
19,1,1,18.1818181818182,5.05,16,9.5
21,1,2,35.7142857142857,4.45,10.5,-6.5
21,1,2,0,5.05,10,-6.5
22,1,3,20.6896551724138,4.35,16,-2
22,1,3,24,5.05,15,-2
23,1,1,0,4.5,16,8.5
23,1,1,58.3333333333333,5.05,16.5,8.5
24,1,1,56.6037735849057,4.75,16,2.5
24,1,1,51.7241379310345,5.05,NA,2.5
28,1,2,0,4.5,10,2
28,1,2,60,NA,10,2
29,1,2,0,4.5,11,4
29,1,2,0,5.05,11,4
32,1,3,43.010752688172,4.5,11.5,-5.75
32,1,3,11.4285714285714,5.05,11.5,-5.75
34,1,3,32.258064516129,4.95,11.5,2
34,1,3,62.8571428571429,5.05,11.5,2
35,1,4,77.5193798449613,4.5,11.5,-7.25
35,1,4,52,5.05,11.5,-7.25
38,1,1,50,4.25,17,-4
38,1,1,38.4615384615385,5.05,17.5,-4
63,1,1,NA,4.25,18,NA
63,1,1,62.5,5.05,18,NA
64,1,1,65.5737704918033,4.5,16,-8
64,1,1,57.7777777777778,5.05,16,-8
65,1,1,0,4.8,15.5,NA
65,1,1,NA,5.05,NA,NA
66,1,1,55.5555555555556,4.25,17,8
66,1,1,74.2857142857143,5.05,17,8
67,1,1,27.027027027027,4.5,13.5,-0.75
67,1,1,22.5352112676056,5.05,13.5,-0.75
68,1,1,78.9473684210526,4.25,17,-13.5
68,1,1,53.0612244897959,5.05,17,-13.5
69,1,1,0,4.25,18,0
69,1,1,0,5.05,18,0
70,1,1,70,4.5,16,-20
70,1,1,33.3333333333333,5.05,16,-20
71,1,1,0,4.75,17,18.5
71,1,1,74.3589743589744,5.05,17,18.5
73,1,2,0,4.25,12,10.5
73,1,2,82.3529411764706,5.05,11,10.5
75,1,2,22.2222222222222,4.25,11,-1
75,1,2,32,5.05,11,-1
76,1,3,28.5714285714286,4.25,17,10.5
76,1,3,64.9350649350649,5.05,16.5,10.5
79,1,3,27.906976744186,4.5,17,-1.5
79,1,3,40,5.05,16,-1.5
80,1,4,NA,4.25,11.5,NA
80,1,4,52.3809523809524,5.05,12.5,NA
84,1,1,16.6666666666667,4.5,16,8
84,1,1,37.5,5.05,16,8
86,1,1,53.6585365853659,4.25,15,-1.5
86,1,1,47.3684210526316,5.05,15,-1.5
87,1,1,NA,4.5,15,NA
87,1,1,0,5.05,15,NA
88,1,1,12.7659574468085,4.25,15,3
88,1,1,15.0943396226415,5.05,15,3
91,1,1,34.7826086956522,4.25,17,-4
91,1,1,0,5.05,17,-4
92,1,1,23.5294117647059,4.25,15,3
92,1,1,70,5.05,15,3
93,1,1,12.1951219512195,4.25,16,2
93,1,1,22.2222222222222,5.05,16,2
95,1,2,76.5957446808511,4.25,10,-13.5
95,1,2,0,5.05,10,-13.5
96,1,2,0,4.25,10,3
96,1,2,0,5.05,10.5,3
97,1,2,0,4.25,10,1
97,1,2,22.7272727272727,5.05,10,1
98,1,2,0,4.25,10,-1.5
98,1,2,24,5.05,10,-1.5
99,1,3,70.5882352941177,4.75,24,-26
99,1,3,50.8474576271186,5.05,24,-26
101,1,3,30,4.75,15,4
101,1,3,52.6315789473684,5.05,15,4
102,1,3,55.8139534883721,4.4,16,-6
102,1,3,0,5.05,15,-6
104,1,4,75.4716981132076,4.62,11.5,-34
104,1,4,57.8947368421053,5.05,12.5,-34
105,1,1,0,4.25,16.5,2.5
105,1,1,0,5.05,16.5,2.5
106,1,1,0,4.25,16,-3
106,1,1,11.4285714285714,5.05,16,-3
107,1,1,41.3793103448276,4.25,14.5,6
107,1,1,65.8536585365854,5.05,14,6
108,1,1,54,4.25,17,3
108,1,1,39.2857142857143,5.05,17,3
111,1,3,62.962962962963,4.25,16,3.25
111,1,3,66.1157024793389,5.05,16,3.25
114,1,1,0,4.75,16,21.5
114,1,1,45.4545454545455,5.25,16.5,21.5
115,1,1,54.7945205479452,4.75,17,-19
115,1,1,34.2857142857143,5.05,17,-19
116,1,1,23.1884057971014,4.25,13,13.75
116,1,1,70.9677419354839,5.05,13,13.75
118,1,1,46.5116279069767,4.25,15,9.5
118,1,1,58.0645161290323,5.05,15,9.5
119,1,1,48.9795918367347,4.75,16.5,4
119,1,1,63.1578947368421,5.05,17.5,4
120,1,1,0,4.5,16,0
120,1,1,0,5.05,16,0
122,1,1,4,4.25,12.5,16
122,1,1,24.390243902439,5.05,12.5,16
124,1,1,50,4.25,15,12
124,1,1,75,5.05,15,12
125,1,2,78.9473684210526,4.5,12.5,-9.5
125,1,2,0,5.05,12,-9.5
130,1,3,30.7692307692308,4.5,18,2.25
130,1,3,8,5.05,16,2.25
132,1,3,57.1428571428571,4.5,24,-7
132,1,3,53.5714285714286,5.5,14,-7
133,1,3,37.5,4.75,17,0
133,1,3,18.75,5.05,15,0
134,1,3,26.1904761904762,4.62,16,1.75
134,1,3,26.3736263736264,5.05,16,1.75
136,1,3,54.2056074766355,4.25,17,NA
136,1,3,NA,NA,16,NA
137,1,3,49.1803278688525,4.25,16,1.5
137,1,3,37.5,5.05,15,1.5
140,1,4,0,4.5,11.5,4.5
140,1,4,18.1818181818182,5.67,11.5,4.5
141,1,4,46.5116279069767,4.75,12.5,4
141,1,4,39.2156862745098,5.05,12.5,4
142,1,4,41.0958904109589,4.25,11.5,24
142,1,4,66.1157024793389,5.05,11.5,24
146,1,1,34.7826086956522,4.8,16,-2.5
146,1,1,0,5.05,16,-2.5
149,1,1,0,4.5,16,2
149,1,1,50,5.05,16,2
150,1,1,0,4.67,16,7.75
150,1,1,48,5.75,15,7.75
156,1,1,43.2432432432432,4.87,15,-5.5
156,1,1,15.3846153846154,5.05,15,-5.5
158,1,2,23.5294117647059,4.5,10,0.5
158,1,2,33.3333333333333,5.05,11.5,0.5
159,1,2,42.8571428571429,4.5,10.5,2.5
159,1,2,60.6060606060606,5.25,11.5,2.5
162,1,3,0,4.75,16.5,-2
162,1,3,14.2857142857143,5.05,15.5,-2
166,1,4,27.5862068965517,4.75,11.5,-7.5
166,1,4,0,5.05,12.5,-7.5
168,1,1,26.3157894736842,4.25,15,1
168,1,1,0,5.25,16,1
171,1,1,9.52380952380952,4.25,16,0.25
171,1,1,47.0588235294118,5.05,16,0.25
172,1,1,0,4.75,12.5,4.5
172,1,1,32.5581395348837,5.05,13,4.5
173,1,1,16.6666666666667,4.85,17.5,-5
173,1,1,35.4838709677419,5.05,18,-5
174,1,1,44,4.75,16,8
174,1,1,60.6060606060606,5.05,16,8
176,1,1,50.8474576271186,4.62,16,8.25
176,1,1,52.9801324503311,5.05,16,8.25
178,1,2,59.0909090909091,4.25,10,-13
178,1,2,11.1111111111111,5.05,10.5,-13
179,1,2,18.1818181818182,4.25,10.5,0
179,1,2,18.1818181818182,5.05,11,0
180,1,2,59.2592592592593,4.5,11,-0.75
180,1,2,0,5.05,12,-0.75
182,1,2,22.2222222222222,4.5,11,-3
182,1,2,0,5.05,10,-3
183,1,2,66.6666666666667,4.62,11,4
183,1,2,68.1818181818182,5.05,10.5,4
185,1,2,21.0526315789474,4.5,10.5,-1.5
185,1,2,25,5.05,10.5,-1.5
186,1,3,41.6666666666667,4.75,16,1
186,1,3,48,5.05,16,1
189,1,3,27.5862068965517,4.75,15,-2
189,1,3,0,5.05,15,-2
192,1,4,68.9655172413793,4.87,12,-6.5
192,1,4,20,5.25,12.5,-6.5
193,1,4,9.52380952380952,4.5,11,1
193,1,4,34.7826086956522,5.05,13,1
195,1,4,0,4.25,11.5,5.5
195,1,4,34.0425531914894,5.05,12.5,5.5
198,1,1,NA,4.25,16,NA
198,1,1,33.3333333333333,5.05,16,NA
199,1,2,0,4.35,10,7.5
199,1,2,66.6666666666667,5.05,10.5,7.5
200,1,1,0,4.25,18,-4
200,1,1,17.2413793103448,5.05,17.5,-4
201,1,1,0,4.5,17,10.5
201,1,1,53.3333333333333,5.05,17,10.5
202,1,1,73.1707317073171,4.25,19,-18.5
202,1,1,57.7777777777778,5.05,19,-18.5
203,1,1,52.9411764705882,4.25,17,7
203,1,1,16.6666666666667,5.05,17,7
204,1,1,54.7945205479452,4.25,17.5,3.5
204,1,1,55.1724137931034,5.05,17.5,3.5
207,1,2,47.0588235294118,4.75,12,-3.5
207,1,2,62.962962962963,5.2,12,-3.5
208,1,3,37.5,4.62,17,-8
208,1,3,20.8333333333333,5.05,14,-8
209,1,3,15.3846153846154,4.25,18,2.5
209,1,3,21.0526315789474,5.05,16,2.5
210,1,4,0,4.5,11.5,-1.5
210,1,4,0,5.05,11,-1.5
211,1,1,14.2857142857143,4.5,15,2.5
211,1,1,8.51063829787234,5.05,15,2.5
212,1,1,48.3516483516484,4.5,16,7.75
212,1,1,65.5737704918033,5.05,16,7.75
213,1,1,24.3243243243243,4.55,17.5,6.25
213,1,1,48.4848484848485,5.05,17.5,6.25
214,1,1,10,4.62,16,2.5
214,1,1,0,5.05,16.25,2.5
215,1,1,55.5555555555556,4.5,16,10
215,1,1,71.4285714285714,5.05,16,10
216,1,2,19.047619047619,4.25,10.5,3.5
216,1,2,14.2857142857143,5.05,10.5,3.5
217,1,2,19.047619047619,4.25,10,-1.5
217,1,2,0,5.05,10.5,-1.5
218,1,2,63.6363636363636,4.35,10,-1.5
218,1,2,52.6315789473684,5.05,11,-1.5
219,1,2,28.5714285714286,4.25,10,5
219,1,2,58.0645161290323,5.05,10.5,5
220,1,2,24,4.25,10,-0.5
220,1,2,25,5.05,10,-0.5
221,1,2,5.55555555555556,4.6,11,-6.5
221,1,2,8.69565217391304,5.05,11,-6.5
222,1,3,11.7647058823529,4.25,12.5,-4.5
222,1,3,16,5.05,11.5,-4.5
223,1,3,20,4.75,16,1
223,1,3,18.75,5.05,15,1
225,1,3,15.3846153846154,4.75,17,9
225,1,3,42.1052631578947,5.05,17,9
226,1,4,0,4.25,11.5,2
226,1,4,0,5.3,10.5,2
228,1,4,14.8148148148148,4.5,12.5,3.25
228,1,4,46.8085106382979,5.05,12.5,3.25
229,1,1,11.5384615384615,4.5,13.5,4.5
229,1,1,72.1311475409836,5.5,13.5,4.5
230,1,1,0,4.25,17,11
230,1,1,56.6037735849057,5.05,17,11
232,1,1,75,4.75,16,3
232,1,1,66.6666666666667,5.05,15,3
233,1,1,74.5098039215686,4.65,16,-4
233,1,1,69.7674418604651,5.05,16,-4
235,1,1,34.4827586206897,4.25,16,NA
235,1,1,NA,5.05,15,NA
237,1,1,55.8139534883721,4.25,16,0
237,1,1,41.8604651162791,5.05,15.5,0
238,1,2,0,4.75,12,23.5
238,1,2,66.6666666666667,5.05,12,23.5
239,1,2,75,4.25,13.5,-8.5
239,1,2,0,5.05,12.5,-8.5
243,1,3,31.1111111111111,4.5,16.5,-1.5
243,1,3,33.3333333333333,5.05,15.5,-1.5
244,1,3,40,4.25,18,-2
244,1,3,57.1428571428571,5.05,17,-2
247,1,4,0,4.5,15.5,0
247,1,4,0,5.05,15.5,0
248,1,4,36.3636363636364,4.75,16,1
248,1,4,43.4782608695652,5.05,16,1
249,1,1,46.1538461538462,4.37,15,6
249,1,1,52.6315789473684,5.05,15,6
250,1,2,20,4.5,10,2
250,1,2,28.5714285714286,5.05,10,2
253,1,3,51.8518518518518,4.87,13,0.5
253,1,3,28.5714285714286,5.05,16,0.5
257,1,1,71.4285714285714,4.25,16,NA
257,1,1,NA,NA,NA,NA
258,1,1,22.2222222222222,4.25,16,14
258,1,1,62.5,5.05,18,14
260,1,1,41.6666666666667,4.25,16,-2
260,1,1,18.1818181818182,5.05,16,-2
262,1,1,42.4242424242424,4.25,16.5,-2.25
